m.05qck	Presidential Medal of Freedom	award.award_category,award.award,book.book_subject
m.03fkrc	National Medal of Arts	award.award_category
m.0pjfj	Iron Cross	award.award_category
m.068gn	Purple Heart	award.award_category
m.025_12q	Christopher Award	award.award_category,award.award
m.04xj_l	Cole Prize	award.award,award.award_category
m.01_4mn	Rockstar Games	fictional_universe.fictional_character_creator,cvg.cvg_developer,cvg.cvg_publisher,music.record_label,organization.organization,award.award_nominee,business.business_operation,award.award_winner,business.employer,internet.website_owner
m.03nqnk3	BAFTA Fellowship	award.award_category
m.01w7n7	Order of Merit	award.award_category
m.04qy5	Legion of Merit	award.award_category,award.award_winner
m.02cqwf	Honorary degree	education.educational_degree,award.award_category
m.01sjwk	Spingarn Medal	award.award_category,book.book_subject
m.05zwvkt	Austrian Decoration for Science and Art	award.award_category
m.01f2y9	Order of the British Empire	award.award_category
m.02phb1w	Goldene Kamera	award.award_category,award.award
m.05qg5q	Richard Dawkins Award	award.award,award.award_category
m.0384z9	Air Medal	award.award_category
m.0b6gx7m	Sokolov Award	award.award_category
m.02kyjn	Mackay Trophy	award.award_category
m.0gj99jq	Steiger Award	award.award,award.award_category
m.093h8d	Silver Buffalo Award	award.award_category,award.award
m.01yl0z	Charlemagne Prize	award.award_category
m.04g4dx	Order of Polonia Restituta	award.award_category,award.award
m.04q77zw	Lister Medal	award.award,award.award_category
m.0cpx13	Knuth Prize	award.award,award.award_category,symbols.namesake
m.0by0dj	Centenary Medal	award.award_category
m.02017v	Alfred I. duPont–Columbia University Award	award.award_category
m.026yk9y	PATH	organization.organization,business.business_operation,award.award_winner,business.employer
m.03_190	Conrad N. Hilton Foundation	award.award_category,organization.organization
m.0b9cll	Medal for Merit	award.award_category
m.09zxpv	Broyles Award	award.award_category
m.04jmdcf	Riverton Prize	award.award_category
m.07jtc3	Woodrow Wilson Awards	award.award_category,symbols.namesake
m.05ltq6	Erasmus Prize	award.award,award.award_category,symbols.namesake
m.025fm2	Padma Bhushan	award.award_category
m.0268dqd	Sylvanus Thayer Award	award.award_category,symbols.namesake
m.026bjbq	Australian Sports Medal	award.award_category
m.01kpt	Bronze Star Medal	award.award_category
m.07sb60v	Harvey Prize	award.award,award.award_category
m.03gypqb	Laetare Medal	award.award_category
m.0h1p4g8	Dirac Medal of the ICTP	award.award,award.award_category,symbols.namesake
m.0j677d0	Swedish Academy Nordic Prize	award.award_category
m.026lf97	Massey Medal	award.award_category
m.080h_70	Haskins Medal	award.award_category
m.01pqzr	National Endowment for the Arts	award.award_category,award.award_presenting_organization,organization.organization,government.government_agency,award.award_winner,business.employer
m.060q6b	Presidential Citizens Medal	award.award_category
m.02gh_8	Military Cross	award.award_category
m.08633j	Davy Medal	award.award_category
m.079sf	Silver Star	award.award_category
m.0gh6jbl	Medal of Freedom	award.award_category
m.0gxsml	Kalidas Samman	award.award_category,award.award
m.04hyh7	National Humanities Medal	award.award_category
m.0pcm54v	Rungstedlund Award	award.award_category
m.0154yf	Legion of Honour	award.award_category
m.0h46h7	Punjab Medal	award.award_category
m.04lf3q	Military Medal	award.award_category
m.0gc48v	Golden Foot	award.award_category,award.award,sports.sports_award_type
m.023jhh	Ballon d'Or	award.award,award.award_category
m.05vc71	Royal Medal	award.award_category
m.03qndg_	Gullruten	award.award_category
m.0h6gtp	Ruth Lilly Poetry Prize	award.award,award.award_category
m.02nb35	IEEE Medal of Honor	award.award,award.award_category
m.0hh7q	ASCAP	award.award_category,award.award_presenting_organization,organization.organization,organization.organization_member,business.employer
m.02wvjhz	Whitehead Prize	award.award_category,award.award
m.06zrp44	Franklin Medal	award.award_category
m.02g2x6	Israel Prize	award.award_category
m.016zlv	Distinguished Flying Cross	award.award_category
m.029293	Padma Shri Awards	award.award_category
m.0h1d2y7	Banga Bibhushan	award.award_category
m.05h5nb8	Golden Bear	award.award_category
m.0cstmx	Henri Poincaré Prize	award.award,award.award_category
m.02658cj	Praemium Imperiale	award.award,award.award_category
m.0ch1k7s	Ovid Prize	award.award_category
m.0jwym18	William Bate Hardy Prize	award.award_category
m.0gyrd_	Morrish Medal	award.award_category
m.04jb6mv	Tamil Nadu State Film Award for Best Actor	award.award_category
m.02d1w_	Navy Cross	award.award_category
m.06v5jq	Crystal Globe	award.award_category
m.08f6c0	Georg Büchner Prize	award.award_category,award.award
m.0805nxh	FIL Award	award.award,award.award_category
m.05hwzx	Polar Medal	award.award_category
m.02rvnzs	The Nichols-Chancellor's Medal	award.award_category
m.0br_j0j	AMA Foundation Leadership Award	award.award_category
m.027lc7	Japan Prize	award.award_category,award.award
m.0789r6	Golden Lion	award.award_category
m.03y893	Order of the Crown	royalty.noble_title,award.award_category
m.05q5p2j	NASA Exceptional Public Service Medal	award.award_category
m.04236x	Sakharov Prize	award.award_category,award.award_presenting_organization
m.02vmz03	Efficiency Medal	award.award_category
m.0fd82y	Goethe Medal	award.award_category,award.award
m.02l1h1	Ford C. Frick Award	award.award_category,symbols.namesake
m.02g2mc	Saturn Award	award.award_category,award.award
m.03nn2q1	Stanislavsky Award	award.award,award.award_category
m.06w4gtv	Gottschalk Medal	award.award_category
m.07wgm	Federalist Party	organization.organization,business.employer,government.political_party
m.07wf9	Democratic-Republican Party	organization.organization,government.political_party,business.employer
m.07wdw	Whig Party	organization.membership_organization,organization.organization,government.political_party,book.book_subject,business.employer
m.0d075m	Democratic Party	organization.organization,book.book_subject,government.political_party,business.employer
m.07wbk	Republican Party	organization.membership_organization,organization.organization,government.political_party,book.book_subject,business.employer
m.01fml	Liberal Party	organization.organization,book.author,government.political_party,business.employer
m.06g8vm	Centre Party	organization.organization,government.political_party,business.employer
m.07y1l	Anti-Masonic Party	organization.organization,government.political_party,business.employer
m.020lwv	Jacksonian Democratic Party	organization.organization,government.political_party,business.employer
m.017__2	People's Party	organization.organization,government.political_party
m.075qbd2	Independent	organization.organization,government.political_party,business.employer
m.04lfg4	Conservative Party	organization.organization,government.political_party,business.employer
m.0l8lg	One Nation	organization.organization,business.employer,government.political_party
m.015fgb	Progress Party	organization.organization,government.political_party,business.employer
m.01qt1v	Christian Democratic Party	organization.organization,book.periodical_publisher,government.political_party,business.employer
m.013_5c	New Zealand Labour Party	organization.organization,government.political_party,business.employer
m.06dwq5	Progressive Party	organization.organization,business.employer,government.political_party
m.01qdcv	Socialist Party	organization.organization,organization.organization_member,government.political_party,business.employer
m.0h9d1	Christian Democratic Appeal	organization.organization,government.political_party,business.employer
m.03d08r	Conservative Party of Quebec	organization.organization,business.employer,government.political_party
m.04c9vz	Reform Party of Alberta	organization.organization,business.employer,government.political_party
m.0gjd7kz	National Liberal Party	organization.organization,government.political_party,business.employer
m.0pbrx	Anti-Revolutionary Party	organization.organization,business.employer,government.political_party
m.020912	Republican Labour Party	organization.organization,business.employer,government.political_party
m.02c_3q	Unionist Party	organization.organization,business.employer,government.political_party
m.01c9x	Labour Party	organization.organization,book.author,organization.organization_member,business.employer,government.political_party
m.0gdj2	Bloc Québécois	organization.organization,government.political_party,business.employer
m.01m_p5	Labour Party	organization.organization,government.political_party,business.employer
m.01lvd0	Labour Party	organization.organization,book.periodical_publisher,organization.organization_member,government.political_party,business.employer
m.01ptvq	SWAPO	military.military_combatant,organization.organization,government.political_party
m.0x2hn	Progressive Conservative Party of Canada	organization.organization,government.political_party,business.employer
m.0gg6s	Social Democratic Party of Germany	organization.membership_organization,organization.organization,organization.organization_member,government.political_party,business.employer
m.05l5n	Oxford	organization.organization_scope,location.location,location.place_with_neighborhoods,fictional_universe.fictional_setting,film.film_location,location.statistical_region,travel.travel_destination,symbols.name_source,location.citytown,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject
m.08966	Zürich	organization.organization_scope,location.location,location.place_with_neighborhoods,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,business.business_location,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,business.employer,government.governmental_jurisdiction
m.0691tj	El Campello	location.location,location.statistical_region,location.citytown
