m.012xls	Jimmy Doolittle	military.military_person,book.author,people.deceased_person,organization.organization_member,military.military_commander,award.award_winner,people.person
m.014488	Harry Belafonte	music.lyricist,music.group_member,tv.tv_personality,film.actor,tv.tv_actor,film.producer,people.person,medicine.notable_person_with_medical_condition,theater.theater_actor,music.producer,film.person_or_entity_appearing_in_film,film.film_subject,music.composer,award.award_nominee,book.author,award.award_winner,book.book_subject,film.music_contributor,music.artist
m.014g17	Ernst Jünger	film.film_story_contributor,influence.influence_node,book.author,people.deceased_person,award.award_winner,book.book_subject,people.person
m.016kkx	James Garner	film.actor,tv.tv_actor,film.producer,people.person,celebrities.celebrity,influence.influence_node,military.military_person,tv.tv_producer,film.person_or_entity_appearing_in_film,award.award_nominee,book.author,people.deceased_person,award.hall_of_fame_inductee,award.award_winner,music.artist
m.017dz3	Anne Morrow Lindbergh	film.actor,award.award_nominee,book.author,people.deceased_person,award.hall_of_fame_inductee,award.award_winner,book.book_subject,people.person,symbols.name_source
m.017lss	Goro Shimura	education.academic,award.award_winner,people.person
m.01bpn	Bertrand Russell	celebrities.celebrity,influence.influence_node,government.politician,film.actor,tv.tv_actor,award.award_nominee,book.author,organization.organization_founder,people.deceased_person,award.award_winner,book.book_subject,people.person,symbols.name_source
m.01bw10	Henry A. Schade	military.military_person,people.deceased_person,award.award_winner,people.person
m.01j_gs	William Roache	influence.influence_node,film.actor,film.person_or_entity_appearing_in_film,tv.tv_actor,award.award_winner,people.person
m.01jqr_5	Paul Robeson	sports.pro_athlete,music.group_member,tv.tv_personality,film.actor,basketball.basketball_player,tv.tv_actor,american_football.football_player,people.person,theater.theater_actor,influence.influence_node,film.person_or_entity_appearing_in_film,music.composer,people.deceased_person,award.award_winner,book.book_subject,film.music_contributor,music.artist
m.01jy3r3	Ray Brown	music.group_member,film.actor,music.producer,film.person_or_entity_appearing_in_film,music.composer,award.award_nominee,people.deceased_person,award.award_winner,film.music_contributor,music.artist,people.person
m.01lz09	Michael Eavis	military.military_person,award.award_nominee,organization.organization_founder,business.board_member,award.award_winner,people.person
m.01m3mb	Katarina Witt	sports.pro_athlete,film.actor,olympics.olympic_athlete,film.person_or_entity_appearing_in_film,award.award_nominee,award.award_winner,people.person
m.01n4f8	Bill Maher	tv.tv_personality,film.actor,tv.tv_actor,film.writer,film.director,business.board_member,film.producer,people.person,celebrities.celebrity,theater.theater_actor,influence.influence_node,tv.tv_producer,film.person_or_entity_appearing_in_film,award.award_nominee,book.author,tv.tv_writer,award.award_winner
m.01ptdv	Arthur Fiedler	tv.tv_personality,music.group_member,film.actor,tv.tv_actor,people.person,award.award_nominee,people.deceased_person,award.award_winner,music.conductor,music.artist
m.01rpmr	Lloyd Bentsen	military.military_person,government.politician,people.deceased_person,award.award_winner,people.person
m.01v0vh	Tommy Lapid	tv.tv_personality,government.politician,people.deceased_person,award.award_winner,people.person
m.01v7h	Chuck Yeager	military.military_person,film.actor,film.person_or_entity_appearing_in_film,tv.tv_actor,book.author,award.award_winner,people.person
m.01vh08	Richard Chamberlain	music.group_member,tv.tv_personality,film.actor,tv.tv_actor,people.person,theater.theater_actor,tv.tv_producer,film.person_or_entity_appearing_in_film,award.award_nominee,book.author,award.award_winner,music.artist
